Lines of code metrics;domingo; 4 dez. 2022 00:58:33 WET;;;;;;;;;;;;;;;
Method;CLOC;JLOC;LOC;NCLOC;RLOC;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.Taskdependency(Name; Table<TaskdependencyRecord>);0;0;3;3;2,27%;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.Taskdependency(Name; Table<TaskdependencyRecord>; Field<?>[]);0;0;3;3;2,27%;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.Taskdependency(String);3;3;6;3;4,55%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.Taskdependency(Table<O>; ForeignKey<O; TaskdependencyRecord>);0;0;3;3;2,27%;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.as(Name);0;0;4;4;3,03%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.as(String);0;0;4;4;3,03%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.constraint_66();4;4;9;5;6,82%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.constraint_66f();4;4;9;5;6,82%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.fieldsRow();0;0;4;4;3,03%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.getChecks();0;0;6;6;4,55%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.getPrimaryKey();0;0;4;4;3,03%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.getRecordType();3;3;7;4;5,30%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.getReferences();0;0;4;4;3,03%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.getSchema();0;0;4;4;3,03%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.rename(Name);3;3;7;4;5,30%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency.rename(String);3;3;7;4;5,30%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.LogrecordRecord();3;3;6;3;4,38%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.LogrecordRecord(Integer; Integer; String);3;3;9;6;6,57%;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.component1();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.component2();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.component3();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.field1();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.field2();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.field3();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.fieldsRow();0;0;4;4;2,92%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord.getId();3;3;6;3;4,38%;;;;;;;;;;;;
