Lines of code metrics;domingo; 4 dez. 2022 00:58:33 WET;;;;;;;;;;;;;;;
Method;CLOC;JLOC;LOC;NCLOC;RLOC;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.getLag();3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.getType();3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.key();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.setDependantUid(String);3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.setDependeeUid(String);3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.setHardness(String);3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.setLag(Integer);3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.setType(String);3;3;6;3;3,02%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value1();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value1(String);0;0;5;5;2,51%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value2();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value2(String);0;0;5;5;2,51%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value3();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value3(String);0;0;5;5;2,51%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value4();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value4(Integer);0;0;5;5;2,51%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value5();0;0;4;4;2,01%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.value5(String);0;0;5;5;2,51%;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.values(String; String; String; Integer; String);0;0;9;9;4,52%;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord.valuesRow();0;0;4;4;2,01%;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Class;CLOC;JLOC;LOC;;;;;;;;;;;;;;
biz.ganttproject.storage.db.DefaultCatalog;18;18;34;;;;;;;;;;;;;;
biz.ganttproject.storage.db.DefaultSchema;21;21;46;;;;;;;;;;;;;;
biz.ganttproject.storage.db.Keys;10;4;20;;;;;;;;;;;;;;
biz.ganttproject.storage.db.Tables;15;15;22;;;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Logrecord;36;33;98;;;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Task;75;72;146;;;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskcustomcolumn;39;36;107;;;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.Taskdependency;50;47;132;;;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.LogrecordRecord;36;27;137;;;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskRecord;114;105;540;;;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskcustomcolumnRecord;36;27;137;;;;;;;;;;;;;;
biz.ganttproject.storage.db.tables.records.TaskdependencyRecord;48;39;199;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Package;CLOC;CLOC(rec);JLOC;JLOC(rec);LOC;LOC(rec);LOCp;LOCp(rec);LOCt;LOCt(rec);NCLOC;NCLOCp;NCLOCp(rec);NCLOCt;;;
;0;135;n/a;444;25 495;32 402;25 495;32 402;0;0;25 450;25 450;28 846;0;;;
biz;n/a;90;n/a;444;n/a;3 368;n/a;3 368;n/a;0;n/a;n/a;3 277;n/a;;;
biz.ganttproject;n/a;90;n/a;444;n/a;3 368;n/a;3 368;n/a;0;n/a;n/a;3 277;n/a;;;
biz.ganttproject.app;0;0;n/a;n/a;658;658;658;658;0;0;657;657;657;0;;;
biz.ganttproject.ganttview;0;0;n/a;n/a;134;134;134;134;0;0;134;134;134;0;;;
biz.ganttproject.lib;0;0;n/a;n/a;77;265;77;265;0;0;77;77;265;0;;;
biz.ganttproject.lib.fx;0;0;n/a;n/a;188;188;188;188;0;0;188;188;188;0;;;
biz.ganttproject.platform;0;0;n/a;n/a;207;207;207;207;0;0;207;207;207;0;;;
biz.ganttproject.print;0;0;n/a;n/a;214;214;214;214;0;0;214;214;214;0;;;
biz.ganttproject.resource;0;0;n/a;n/a;94;94;94;94;0;0;94;94;94;0;;;
biz.ganttproject.storage;n/a;90;n/a;444;n/a;1 796;n/a;1 796;n/a;0;n/a;n/a;1 706;n/a;;;
biz.ganttproject.storage.db;0;90;58;444;169;1 796;169;1 796;0;0;151;151;1 706;0;;;
biz.ganttproject.storage.db.tables;0;72;188;386;572;1 627;572;1 627;0;0;548;548;1 555;0;;;
biz.ganttproject.storage.db.tables.records;0;48;198;198;1 055;1 055;1 055;1 055;0;0;1 007;1 007;1 007;0;;;
calendars;0;0;n/a;n/a;3 420;3 420;3 420;3 420;0;0;n/a;n/a;n/a;n/a;;;
com;n/a;n/a;n/a;n/a;n/a;119;n/a;119;n/a;0;n/a;n/a;119;n/a;;;
com.sandec;n/a;n/a;n/a;n/a;n/a;119;n/a;119;n/a;0;n/a;n/a;119;n/a;;;
com.sandec.mdfx;0;0;n/a;n/a;119;119;119;119;0;0;119;119;119;0;;;
;;;;;;;;;;;;;;;;;
Module;JLOC;L(Groovy);L(HTML);L(J);L(KT);L(XML);LOC;LOCp;LOCt;NCLOC;NCLOCp;NCLOCt;;;;;
GanttProject;n/a;453;78;0;0;8 513;50 253;0;0;34 911;0;0;;;;;
GanttProject.biz.ganttproject.app.localization;n/a;50;0;0;0;27;85;0;0;85;0;0;;;;;
GanttProject.biz.ganttproject.app.localization.main;n/a;0;0;0;0;0;28 915;28 915;0;25 450;25 450;0;;;;;
GanttProject.ganttproject-builder;n/a;0;0;0;0;3 659;5 372;0;0;4 324;0;0;;;;;
GanttProject.ganttproject.main;444;0;0;1 796;0;0;3 487;3 487;0;2 952;2 952;0;;;;;
;;;;;;;;;;;;;;;;;
FileType;LOC;NCLOC;;;;;;;;;;;;;;;
.hgignore (HgIgnore);6;6;;;;;;;;;;;;;;;
CSS;1 676;1 676;;;;;;;;;;;;;;;
Files supported via TextMate bundles;147;147;;;;;;;;;;;;;;;
GUI Designer form;372;372;;;;;;;;;;;;;;;
Groovy;503;503;;;;;;;;;;;;;;;
HTML;78;78;;;;;;;;;;;;;;;
Java;1 796;1 262;;;;;;;;;;;;;;;
Manifest;12;12;;;;;;;;;;;;;;;
Markdown;21;21;;;;;;;;;;;;;;;
Patch;49;49;;;;;;;;;;;;;;;
Properties;48 964;48 770;;;;;;;;;;;;;;;
SQL;42;42;;;;;;;;;;;;;;;
Scalable Vector Graphics;1 804;1 803;;;;;;;;;;;;;;;
Shell script;794;794;;;;;;;;;;;;;;;
Text;19 606;n/a;;;;;;;;;;;;;;;
XML;12 199;12 144;;;;;;;;;;;;;;;
XML Document Type Definition;33;33;;;;;;;;;;;;;;;
YAML;10;10;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Project;CLOC;JLOC;L(Groovy);L(HTML);L(J);L(KT);L(XML);LOC;LOCp;LOCt;NCLOC;NCLOCp;NCLOCt;;;;
project;1 123;444;503;78;1 796;0;12 199;88 112;32 402;0;67 722;28 402;0;;;;
